	Acidobacteria        	Actinobacteria       	Aquificae            	Bacteroidetes        	Chlamydiae           	Chlorobi             	Chloroflexi          	Crenarchaeota        	Cyanobacteria        	Deferribacteres      	Deinococcus-Thermus  	Euryarchaeota        	Firmicutes           	Fusobacteria         	Planctomycetes       	Proteobacteria       	Spirochaetes         	Synergistetes        	Thermotogae          	Verrucomicrobia      	Alphaproteobacteria  	Betaproteobacteria   	Deltaproteobacteria  	Epsilonproteobacteria	Gammaproteobacteria  
Number_genomes	5	140	9	53	20	11	14	34	39	4	12	73	293	5	5	552	23	3	12	4	133	68	39	36	276
Number_genera	5	65	8	36	5	5	7	17	12	4	6	42	69	5	4	209	5	3	5	4	59	41	22	11	76
Number_family	2	37	3	12	3	1	4	6	2	1	3	16	33	2	1	75	2	1	1	4	19	10	15	3	28
Number_classes	2	1	1	4	1	1	4	1	1	1	1	8	4	1	1	5	1	1	1	2	1	1	1	1	1
Number_SCG	428	136	400	119	288	414	180	227	332	616	332	151	113	278	387	98	127	523	369	330	133	271	135	304	143
COG0001	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0
COG0002	1	0	1	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0
COG0005	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
COG0006	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
COG0007	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0
COG0008	0	0	1	0	1	1	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0
COG0009	0	0	1	0	1	1	1	1	0	1	1	1	0	1	0	0	0	1	1	1	1	0	0	0	0
COG0011	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
COG0012	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	0	1	1	0	1	1
COG0013	0	0	0	0	1	1	0	1	0	1	1	0	0	1	1	1	0	0	0	1	0	1	0	1	1
COG0014	0	0	1	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0
COG0015	0	0	1	0	0	1	1	0	1	1	0	1	0	1	1	0	0	1	0	1	0	0	1	0	0
COG0016	1	0	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1
COG0017	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
COG0018	1	0	0	0	1	1	0	0	0	1	1	0	0	1	1	1	1	1	1	1	0	1	1	1	1
COG0020	0	0	1	0	1	1	1	1	0	1	1	0	0	1	1	0	1	1	1	1	0	1	1	1	1
COG0021	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	1	1	1	0	0	0	1	0
COG0023	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
COG0024	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	1	1	0	0	0	1	0
COG0026	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
COG0028	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
COG0029	1	0	1	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0
COG0030	1	0	1	0	1	1	0	1	0	1	1	0	0	1	1	0	0	1	1	1	0	1	0	1	1
COG0031	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
COG0034	1	1	1	0	0	1	0	0	1	1	1	1	0	0	1	0	0	1	0	0	0	1	0	0	0
COG0035	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0
COG0036	1	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0
COG0037	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0
COG0038	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
COG0039	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
COG0040	1	0	1	0	0	1	1	0	1	1	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0
COG0041	1	1	1	1	0	1	0	0	1	1	1	1	0	0	1	0	0	1	0	1	0	1	0	0	0
COG0042	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0
COG0043	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0
COG0044	0	0	1	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
COG0045	1	0	0	0	1	0	0	1	0	1	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0
COG0046	1	1	1	0	0	1	0	0	1	1	1	1	0	0	1	0	0	1	0	0	0	1	1	0	0
COG0047	1	0	1	0	0	1	0	0	1	1	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0
COG0048	1	1	0	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
COG0049	1	1	0	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
COG0050	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	1	0	1	1	0	0	0	1	0
COG0051	1	1	1	0	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	0	1
COG0052	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
COG0053	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	1	1	0	0	0	0	0
COG0054	0	0	0	0	1	1	0	0	1	1	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0
COG0055	0	1	0	0	0	0	1	0	1	1	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0
COG0056	0	1	0	0	0	0	1	0	1	1	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0
COG0057	1	0	1	0	1	1	0	1	0	0	0	0	0	1	1	0	0	1	0	1	0	0	0	0	0
COG0058	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
COG0059	1	0	1	0	0	1	1	0	1	1	1	0	0	0	1	0	0	0	0	0	0	1	0	1	0
COG0060	0	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	0	1	1
COG0061	1	0	1	0	0	1	1	0	0	1	0	0	0	1	1	0	0	1	1	0	0	1	0	1	1
COG0063	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
COG0064	1	1	1	0	1	1	0	0	0	1	1	0	0	1	1	0	0	1	1	1	1	1	0	1	0
COG0065	1	0	1	0	0	1	0	0	1	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0
COG0066	1	0	1	0	0	1	0	0	1	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0
